Edition,Sport,Discipline,NOC,Event,Event_gender,Medal
2000,Aquatics,Diving,RUS,10m platform,M,Bronze
2000,Aquatics,Diving,CHN,10m platform,M,Gold
2000,Aquatics,Diving,CHN,10m platform,M,Silver
2000,Aquatics,Diving,CAN,10m platform,W,Bronze
2000,Aquatics,Diving,USA,10m platform,W,Gold
2000,Aquatics,Diving,CHN,10m platform,W,Silver
2000,Aquatics,Diving,RUS,3m springboard,M,Bronze
2000,Aquatics,Diving,CHN,3m springboard,M,Gold
2000,Aquatics,Diving,MEX,3m springboard,M,Silver
2000,Aquatics,Diving,GER,3m springboard,W,Bronze
2000,Aquatics,Diving,CHN,3m springboard,W,Gold
2000,Aquatics,Diving,CHN,3m springboard,W,Silver
2000,Aquatics,Diving,GER,synchronized diving 10m platform,M,Bronze
2000,Aquatics,Diving,RUS,synchronized diving 10m platform,M,Gold
2000,Aquatics,Diving,CHN,synchronized diving 10m platform,M,Silver
2000,Aquatics,Diving,AUS,synchronized diving 10m platform,W,Bronze
2000,Aquatics,Diving,CHN,synchronized diving 10m platform,W,Gold
2000,Aquatics,Diving,CAN,synchronized diving 10m platform,W,Silver
2000,Aquatics,Diving,AUS,synchronized diving 3m springboard,M,Bronze
2000,Aquatics,Diving,CHN,synchronized diving 3m springboard,M,Gold
2000,Aquatics,Diving,RUS,synchronized diving 3m springboard,M,Silver
2000,Aquatics,Diving,UKR,synchronized diving 3m springboard,W,Bronze
2000,Aquatics,Diving,RUS,synchronized diving 3m springboard,W,Gold
2000,Aquatics,Diving,CHN,synchronized diving 3m springboard,W,Silver
2000,Aquatics,Swimming,GER,100m backstroke,M,Bronze
2000,Aquatics,Swimming,USA,100m backstroke,M,Gold
2000,Aquatics,Swimming,AUS,100m backstroke,M,Silver
2000,Aquatics,Swimming,ESP,100m backstroke,W,Bronze
2000,Aquatics,Swimming,ROU,100m backstroke,W,Gold
2000,Aquatics,Swimming,JPN,100m backstroke,W,Silver
2000,Aquatics,Swimming,RUS,100m breaststroke,M,Bronze
