Country Name	Country Code	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Aruba	ABW															36015.07046				
Andorra	AND																			
Afghanistan	AFG						895.5991488	945.6869299	940.476299	1039.408242	1095.655628	1245.059223	1283.040986	1525.517054	1629.16729	1712.58872	1934.285634	1941.898323	1939.954125	1934.193634
Angola	AGO	2778.743543	2918.451406	2972.321938	3036.559728	3131.995858	2858.897069	2961.964572	3256.653754	3838.264572	4614.590809	5613.232196	6298.01244	6284.274905	6360.84898	6524.481181	6758.27805	7097.840138	7317.834073	7371.027656
Albania	ALB	2865.50751	3177.490786	3684.945153	4045.752069	4508.632006	4785.880981	5182.490367	5652.602673	6199.912727	7066.725645	7658.408578	8769.094336	9342.081246	9303.932476	9640.144593	10361.43322	10412.44172	11167.02257	11305.41742
Arab World	ARB	7972.130059	8345.371205	8590.182662	9022.789765	9248.465577	9324.919983	9624.999698	10601.28818	11342.57258	12213.23178	12925.95249	13680.19999	13722.91708	14203.77323	14577.29518	15473.457	15841.57224	16092.82525	16415.62726
United Arab Emirates	ARE	83165.26315	80040.2167	79262.38645	84974.89409	83533.55522	82369.68502	85563.63642	87843.70811	84338.35941	82754.28198	75426.79351	69124.39621	59100.38054	56245.47816	57594.12668	61172.99479	64229.46499	67921.39946	70237.94775
Argentina	ARG																			
Armenia	ARM	1840.696008	2012.338894	2123.61324	2313.331946	2605.771618	3007.219393	3510.316808	3998.143137	4716.243273	5526.092806	6483.504649	7097.912173	6158.301452	6376.268217	6803.482997	7401.856398	7734.780167	8099.208326	8393.511786
Antigua and Barbuda	ATG	13732.76683	14108.11207	14554.48083	15312.5665	14907.07263	15372.57819	16426.92431	17593.87624	19067.0683	22040.91366	24503.84487	24723.11189	21671.37575	20151.30987	19987.92414	20956.33642	21008.14698	22157.58162	22967.692
Australia	AUS	22990.70709	24216.73343	25268.51981	26373.96968	27398.68203	28685.30614	29693.41851	31310.50195	32559.45929	34322.91833	36563.46822	37479.28912	40257.16862	39168.25672	41763.11851	42596.29412	45476.97659	45937.30004	45514.17583
Austria	AUT	25532.15175	26728.58592	27752.71775	29566.24767	29856.60364	31261.55163	32202.44556	33800.70211	34691.20896	37626.14418	39234.32288	41151.58504	40620.39216	41892.77585	44022.39527	45858.24684	47416.28467	47706.48825	47824.18778
Azerbaijan	AZE	2634.158631	2901.351672	3136.093893	3534.329148	3942.084882	4393.967199	4945.907916	5551.448842	7169.150431	9830.162606	12477.38469	13799.78614	14900.50866	15627.60562	15754.15236	16180.88715	17174.31088	17584.68535	17739.95474
Burundi	BDI	552.2035397	576.4927641	569.6248028	565.3579325	574.8682608	591.4940159	576.4781864	599.8560986	603.2655406	632.6474358	656.8677489	679.0614557	683.4686854	693.4700034	712.6704834	730.0335656	750.7058449	772.6951222	736.0118339
Belgium	BEL	24303.3899	24831.83899	25922.82496	28278.29829	29198.02064	30767.29975	31052.37783	31975.60418	33042.89928	35071.37549	36579.6182	37846.95559	37629.44284	39257.83447	40858.72517	41930.66183	43057.20359	43409.24089	43991.62289
Benin	BEN	1171.559489	1196.354532	1242.716676	1305.034602	1361.728492	1400.049756	1428.792779	1483.357743	1507.891161	1565.55691	1651.808665	1714.280209	1716.207268	1723.796926	1761.574331	1826.808935	1931.929514	2037.586205	2109.845957
Burkina Faso	BFA	732.4923129	772.5805971	819.0421535	829.0523864	878.6072475	904.6273875	966.3056617	1007.368261	1096.688868	1165.274265	1225.850888	1300.498069	1308.546046	1393.562721	1470.435184	1547.649372	1583.161865	1626.266913	1659.220243
Bangladesh	BGD	1138.934299	1185.987717	1235.147515	1304.442358	1375.759114	1424.312233	1495.529221	1591.404389	1724.427708	1871.000135	2031.778522	2171.629728	2273.164201	2401.71874	2579.335048	2764.781928	2942.810045	3134.154252	3332.803445
Bulgaria	BGR	5404.800136	6120.069653	5778.966624	6344.336359	6895.369912	7760.335491	8386.675063	9155.589458	10123.97384	11440.90733	13319.24372	14934.77446	14870.80541	15084.32216	15603.05166	16097.83431	16573.47034	17207.59533	17511.76411
Bahrain	BHR	33048.3316	33861.90576	34579.99318	35792.04549	36005.75474	36288.46741	37374.89557	38724.49061	39770.76082	40220.94274	40979.87158	40843.84606	39343.22549	39423.65129	39676.71702	40992.55678	43400.02246	45666.48945	46946.33519
"Bahamas, The"	BHS	17338.20097	18157.7265	19515.95658	20486.83736	21131.6689	21606.43716	21304.66135	21619.39465	22602.88621	23417.23436	23928.02132	23397.81577	22196.81949	22431.13764	22665.16756	23234.79222	23277.87767	23576.96051	23795.4383
Bosnia and Herzegovina	BIH	3128.002497	3658.558859	4062.008663	4373.125089	4661.145307	4972.278989	5261.898096	5723.554247	6412.549886	7330.409433	8025.023207	8796.280753	8686.598414	8941.522708	9422.276108	9705.013979	10115.5404	10426.91728	10509.65142
Belarus	BLR	4596.67258	5060.880441	5331.032663	5785.87425	6245.425114	6703.775792	7369.828474	8497.621267	9662.054244	11022.0864	12345.10559	13917.75675	14082.53828	15385.45927	16603.38953	17218.3561	17683.1643	18250.56322	17660.94659
Belize	BLZ	4593.733977	4635.708792	4932.807083	5511.750367	5741.870779	5959.839536	6474.65237	6786.579326	7003.055092	7354.917682	7438.372326	7630.700312	7558.521501	7716.057237	7855.674423	8114.443709	8173.297557	8461.957885	8526.927511
Bermuda	BMU	33613.37247	35044.95134	36579.56343	40535.20826	43976.09251	43706.03474	45797.32036	47835.43923	49877.28411	53949.42371	56640.989	58288.61209	55320.16171	55254.21412	54984.51039	53097.69629	52443.84166		
Bolivia	BOL	3264.944963	3399.253115	3399.735758	3497.279475	3570.0555	3647.572088	3753.050849	3946.709016	4180.320068	4438.619391	4684.928029	4986.848846	5108.846894	5298.08291	5598.566773	5899.781303	6304.204096	6654.038846	6880.903359
Brazil	BRA	8518.539534	8507.23298	8545.798237	8963.389913	9182.108777	9468.347012	9629.948487	10324.81927	10860.39802	11501.98432	12389.56704	13140.76226	13093.99722	14114.51854	14827.14672	15246.26077	15816.8004	15951.22122	15359.3263
Barbados	BRB	10135.93055	10585.96971	10742.94385	11443.57652	11386.82975	11622.64182	12073.39022	12540.47317	13421.01435	14563.9997	15144.58071	15444.69153	14872.86448	15036.36253	15401.54965	15673.17331	15876.6183	16116.48757	16390.86492
Brunei Darussalam	BRN	57157.09876	56162.45612	57503.09719	59253.67743	61062.58217	63217.42997	65178.52895	66146.07321	67366.83381	71257.33161	72032.38932	70824.08444	68962.85521	70486.33306	73265.12163	74195.02119	73005.55546	71444.89878	70817.01851
Bhutan	BTN	2405.159108	2514.284088	2681.770229	2850.815991	3064.827799	3344.159882	3564.723225	3770.094685	4060.201675	4365.935906	5172.726954	5418.202026	5717.165737	6354.393934	6882.688407	7251.433192	7418.545355	7844.220327	8076.956876
Botswana	BWA	7328.001672	7317.558437	8003.46657	8212.672296	8296.887363	8814.832844	9283.020404	9661.290445	10268.51467	11277.62387	12310.67996	13082.00208	11934.06089	12854.16489	13634.26789	14211.00753	15548.26355	15990.94377	15807.08572
Central African Republic	CAF	634.8263635	657.015655	676.6546375	661.6501937	694.1575181	717.9844185	681.5610845	730.2605044	747.9034771	785.0939182	828.0776533	845.9024127	850.7776973	870.7391642	900.6397845	925.7149449	581.1246142	571.877458	597.3671903
Canada	CAN	25070.67818	26106.63169	27656.67692	29187.51875	30086.5628	30851.31148	32186.22686	33752.21339	36134.60224	37956.81425	39417.53198	40277.61931	38746.25028	40069.47096	41565.27122	42143.96878	44281.26918	45025.02614	44310.12108
Central Europe and the Baltics	CEB	8675.604767	9067.71088	9365.312828	10004.17368	10788.39261	11582.93844	12317.82008	13375.73816	14305.93499	15957.13225	17805.5728	19381.26986	19464.02269	20474.02239	21839.74529	22726.2262	23682.44688	24529.04708	25295.02807
Switzerland	CHE	30919.81056	31984.6286	32558.01319	34500.07861	35381.1937	36376.69245	36419.37836	37760.89215	39152.87342	43350.83895	47404.66762	50438.76295	49903.27319	51356.96398	54550.68937	57205.37219	59351.42306	59535.79974	60535.15876
Chile	CHL	8599.416631	8907.98353	8846.42962	9848.898397	10249.82649	10535.56041	11133.57073	11991.27253	12964.80494	15637.69644	16841.56003	16437.57209	16226.14868	18249.54077	20266.03603	21370.09931	21443.75036	22128.55767	22316.2077
China	CHN	2265.313589	2446.149933	2649.745162	2915.414665	3205.927472	3527.351904	3933.599477	4422.650321	5053.37904	5836.832773	6807.112205	7569.679892	8290.08893	9238.75527	10274.49435	11219.92767	12218.52112	13254.64298	14238.66934
Cote d'Ivoire	CIV	2325.24034	2398.613584	2411.940058	2360.206139	2367.134018	2319.377597	2292.627944	2343.02927	2415.250437	2478.838227	2538.131677	2598.689986	2645.430634	2671.139553	2546.906812	2803.700937	3037.257692	3270.137389	3495.829746
Cameroon	CMR	1728.458535	1784.388818	1836.001013	1905.370959	1984.237936	2041.760122	2111.164252	2192.349746	2256.197358	2339.807259	2417.748926	2472.469533	2475.605671	2522.88181	2614.495561	2715.35411	2840.743075	2983.08304	3122.643965
"Congo, Rep."	COG	3493.113944	3564.540556	3433.823369	3684.100083	3819.679366	3965.123278	3985.667797	4137.021948	4482.453591	4770.057891	4675.456706	4879.038556	5125.450614	5482.111376	5632.435875	5803.0888	5950.46862	6299.684353	6368.121285
Colombia	COL	6520.037003	6528.900673	6256.810181	6585.333975	6750.687139	6927.320919	7241.331945	7732.320562	8248.354961	8957.336622	9710.901183	10132.23949	10260.20522	10680.00208	11496.52725	12058.4613	12727.09917	13376.63066	13800.78663
Comoros	COM	1010.225585	1007.136936	1015.424602	1122.212766	1145.637356	1161.508506	1180.72193	1207.055047	1250.669241	1291.518663	1304.414622	1303.197522	1306.440009	1318.895891	1347.797753	1379.715987	1416.462203	1434.500524	
Cabo Verde	CPV	2149.791037	2386.443946	2634.083571	3014.572463	3091.34299	3245.295946	3393.994296	3791.219232	4137.486159	4566.166223	5365.042686	5803.386002	5739.376255	5850.145328	6147.974534	6256.800843	6344.342943	6543.352962	6689.81139
Costa Rica	CRI	6452.75894	6911.702669	7433.929706	7588.726	7705.16082	7918.920307	8463.380463	8934.268856	9624.79691	10638.83689	11624.96873	12011.73098	11823.19203	12402.95929	13072.14256	13839.46892	14386.89677	14972.58432	15377.22957
Caribbean small states	CSS	7726.341669	7955.681269	8347.925885	8804.591925	9153.701018	9627.895823	10445.42074	11169.61979	11894.64189	13092.1786	13818.6397	14235.86299	13752.60398	13853.52273	14221.69323	14574.17774	14945.463	15309.39481	15587.22313
Cuba	CUB	7647.935406	7713.899128	8287.856106	8948.602699	9414.413637	9666.82919	10205.7586	11066.04515	12678.60448	14626.52465	16093.62914	17075.49136	17443.36295	18061.00964	18924.76327	19820.97698	20648.97391		
Curacao	CUW																			
Cayman Islands	CYM															49902.14655				
Cyprus	CYP	17345.33047	18340.12068	19211.71957	20726.62731	22353.30074	22994.54008	23829.73189	25595.98111	27330.88191	29706.28784	31767.05246	34825.57756	34087.75901	33957.90165	32983.18518	31920.44547	30587.42435	30295.21278	30734.1752
Czech Republic	CZE	14892.66048	14969.25479	15387.3753	16282.47337	17650.28994	18318.35495	19609.26942	20984.65585	22286.45719	24400.72696	26680.49785	27111.5482	27008.80686	27069.63397	28604.21266	28727.90726	30043.5678	31185.8787	32167.05784
Germany	DEU	24183.8621	24871.24091	25798.2799	26630.51119	27725.11014	28435.90138	29362.42507	30694.90234	32184.05523	34690.33322	36777.78306	38438.74115	37112.88061	39639.47997	42142.5489	43600.1134	44184.82304	46393.87652	47268.43368
Djibouti	DJI	1639.942194	1629.415117	1660.912953	1677.661256	1723.537812	1768.428111	1833.863819	1928.388215	2025.13427	2158.330859	2298.569959	2447.953808	2557.639707	2644.628229	2782.971292	2932.233342	3087.463317	3282.360241	
Dominica	DMA	5723.779318	6113.757242	6284.868655	6472.655571	6653.295373	6623.116849	7248.304613	7660.475883	7875.683205	8337.973419	9090.500959	9909.982673	9852.901319	10016.24637	10189.39821	10206.27438	10387.85995	10917.07425	11277.92822
